"","PLT_CN","C.storage","N.storage","depth","m.C.storage","m.N.storage","m.depth","pH_H2O","pH_CaCl2","m.Na.storage","m.K.storage","m.Mg.storage","m.Ca.storage","m.Al.storage","m.Mn.storage","m.Fe.storage","m.Ni.storage","m.Cu.storage","m.Zn.storage","m.Cd.storage","m.Pb.storage","m.S.storage","m.BrayP.storage","m.OlsenP.storage"
"148",3647583010690,2.00897790055249,0.120538674033149,10,2.00897790055249,0.120538674033149,10,8.14,7.51,1645.7546961326,15006.2613259669,17984.3701657459,682570.331491713,241.077348066298,17.6790055248619,0,0,0,0,12.8574585635359,0,781.090607734807,10.6074033149171,235.77364640884
"149",3647706010690,6.25306670961111,0.237549747483333,20.8678333333333,5.99528,0.232238,20,5.845,5.195,19273.48,17987.3,26823.54,300631.7,304.061,2959.285,0,0,15.088,2780.877,77.093,652.882,2056.025,4082.4221,1700.9828
"150",3651355010690,6.38608768546961,0.361600343259668,22.4341666666667,5.03638121546961,0.329089613259668,20,5.695,4.89,6474.72232044199,13345.6033149171,62690.8464088398,383042.044198895,1753.22519337017,14364.2419889503,0,0,0,0,4.21491712707182,66.0337016574586,1536.42950276243,1162.16081767956,1711.35395580111
"151",3652546010690,5.11818014444444,0.218478194833333,21.8415,4.138052,0.186778,20,5.15,4.42,4069.056,16054.216,25650.436,328326.7,8957.046,4728.698,0,0,0,7.868,5.62,78.68,1184.968,651.8204,344.8618
"152",3653392010690,2.42463376444444,0.0818505686666667,4.318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",3658758010690,2.14120087003704,0.0351521761888889,3.34433333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",3659065010690,6.4114722782566,0.18919185015175,23.302,3.28541751381216,0.123096596685083,20,6.605,6.04,2366.60574033149,25430.2385635359,22598.1893370166,307417.985635359,522.033994475138,1195.893,0,0,0,0,18.423,35.0127348066298,1652.50637569061,1007.15516519337,763.053890055249
"155",3659251010690,2.98539972873153,0.126422492474299,10.9101666666667,2.70323370165746,0.121138287292818,10,6.61,5.98,763.827624309392,7590.53701657459,32558.1524861878,161418.259668508,113.977403314917,1235.84922651934,0,0,0,2.98370165745856,25.0630939226519,8.95110497237569,640.302375690608,311.140408839779,157.658795580111
"156",3667119010690,7.63446890733333,0.5258052724,21.1218333333333,7.32605,0.51786,20,7.865,7.24,1275.219,34931.013,55549.09,1281857.8,166.816,430.657,0,5.155,0,42.271,5.561,108.977,4493.359,5465.8163,3971.2663
"157",3667547010690,5.94007854844444,0.372302748355555,21.016,5.19624,0.34976,20,6.54,5.935,5469.62,60099.43,74527.75,865146.156,8052.544,2912.622,0,0,-1.105,131.495,20.084,175.935,4008.054,17770.2129,5722.7757
"158",3668507010690,11.9960077085428,0.875347297015193,11.4816666666667,10.9605082872928,0.849439392265193,10,6.04,5.53,64.9511602209945,23159.1480662983,33977.5756906077,497850.643093923,0,863.647458563536,0,0,0,0,14.2080662983425,0,695.180386740332,5347.30723756906,1858.61804419889
"159",3668896010690,7.21395007691667,0.228785199508333,21.6721666666667,6.0766,0.189834,20,4.685,3.87,4822.982,33794.5,21544.92,80767.74,66017,2177.698,0,0,0,379.492,24.246,881.644,2375.322,2778.4516,1957.0968
"160",3670479010690,10.1354717,0.876086130666667,20.8466666666667,9.73071,0.86378,20,8.06,7.61,3616.124,49029.96,65762.41,1201514.2,203.051,417.644,331.179,2.186,10.93,0,1.7,12.023,2286.204,71.1478,1401.4979
"161",3671938010690,0.06010656,0.0013844016,0.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",3675299010690,3.16305901540741,0.120270702325926,15.1646666666667,1.3986,0.059238,10,NA,NA,132.192,10276.2,4457.7,47979.162,4.104,161.622,0,0,0,0.216,0.972,2.052,288.522,204.0498,413.5644
"163",3676092010690,3.38019465333333,0.171306755333333,22.2013333333333,2.021994,0.121025,20,5.235,4.355,0,9686.111,23785.993,105473.683,16316.469,6092.467,0,0,0,1589.027,-3.122,4.683,1735.774,7430.1818,2071.7044
"164",3676369010690,8.92265133055556,0.270798787777778,23.7041666666667,6.59863,0.196833,20,4.785,4.07,3621.212,39698.14,18752.266,199159.02,48150.91,2374.049,6414.633,0,0,61.436,1.446,135.509,1850.468,14900.9577,10507.9139
"165",3677020010690,1.4193067878895,0.0373803810298343,13.048,0.482404419889503,0.0178748066298343,10,NA,NA,76.6678453038674,3075.32817679558,4740.05414364641,22096.4913812155,56.208729281768,440.840110497238,0,0,0,12.2754696132597,2.36895027624309,10.1218784530387,0,154.283270718232,85.6913922651934
"166",3678393010690,14.0259023418519,0.892546125148148,22.3283333333333,12.76614,0.841488,20,6.185,5.635,1952.286,30743.64,67767.42,513880.14,511.266,2113.308,376.893,0,0,9.024,5.076,151.011,2488.65,1838.8656,1117.7211
"167",3680142010690,7.70486273333333,0.699284126666667,20.9525,7.06662,0.674945,20,6.695,6.095,1640.191,87879.98,36105.36,516763.536,160.215,663.437,263.141,0,0,0,7.832,0,1004.913,15673.0275,5427.0647
"168",3680239010690,3.84737082258889,0.265851693394444,21.5028333333333,3.69041,0.262381,20,6.555,5.79,3142.76,26429.928,30009.628,383845.71,131.718,1390.633,0,0,0,125.662,4.335,0,1647.111,2710.3656,675.9429
"169",3681153010690,2.427868906,0.060838461,1.0795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",3681645010690,13.6972291079259,0.964226716607407,24.6143333333333,11.74629,0.910537,20,5.07,4.505,2753.63,33037.084,38804.917,601994.914,17458.463,11971.797,21.097,54.604,0,729.209,10.581,0,2764.115,1530.4638,899.2602
"171",3682209010690,8.25087236040741,0.21218661622963,24.2968333333333,6.34408,0.153633,20,5.785,5.1,460.84,32422.015,30760.34,328512.9,1355.356,2618.955,0,0,0,215.082,11.614,112.425,481.482,819.7608,229.7553
"172",3683854010690,2.568309,0.242437,20,2.568309,0.242437,20,8.235,7.43,6269.258,46837.79,142865.12,1142657.4,1040.881,265.392,0,0,0,75.936,13.464,272.758,1547.781,582.1406,237.303
"173",3685071010690,5.33493314917127,0.352760718232044,20,5.33493314917127,0.352760718232044,20,5.815,5.045,1819.17845303867,46895.4049723757,34794.3099447514,330600.239834254,39.2883977900552,1145.13480662983,260.285635359116,0,0,23.8266298342541,14.79,87.87,905.597569060774,12763.2219447514,3013.30108839779
"174",3685845010690,6.37640656888889,0.339067177044445,10.6561666666667,6.23128,0.334851,10,5.89,5.22,1194.061,25294.5,32939.06,327061.9,120.45,1067.187,0,0,0,0,8.03,0,338.063,450.1618,307.7899
"175",3686205010690,8.25948130324156,0.314221244753315,11.7568333333333,7.53493922651934,0.304013867403315,10,6.47,6.13,501.806022099448,20517.01160221,25268.2093922652,280812.533701658,92.0937016574586,1183.09011049724,0,0,0,8.3721546961326,10.988453038674,28.2560220994475,796.401215469613,NA,921.407950276243
"176",3686670010690,7.61657009777778,0.547913337866667,21.016,7.3608,0.54129,20,6.48,5.775,2273.82,37474.59,85778.67,583229.82,198.69,991.65,0,0,0,89.91,0,0,1148.73,1930.578,927.201
"177",3687241010690,5.53298915022222,0.142090395387037,21.1218333333333,4.76252,0.118145,20,6.955,6.5,5603.052,110001.1,32950.28,370534,0,1327.995,189.501,0,0,0,0,3.21,7339.921,537.7597,170.0164
"178",4645868010690,2.6702995515,0.259673527933333,20.1905,2.632994,0.258887,20,8.06,7.56,0,39964.506,79980.54,697033.6,406.266,358.78,0,58.038,0,0,6.767,0,1608.728,2281.396,645.9648
"179",4646347010690,2.10617807916667,0.228129797133333,20.1905,2.04704,0.226688,20,7.81,7.21,115.44,48448.088,59431.84,911495.2,561.32,414.896,0,93.48,0,0,1.64,0,720.136,8493.36,1403.5968
"180",4646800010690,11.3772534666667,0.618055425925926,23.7041666666667,9.98342,0.591797,20,6.155,5.665,7146.332,31687.9,188914.7,527288.7,113.151,913.154,1.522,3.805,0,0,2.842,39.572,663.592,1299.174,1093.038
"181",4646886010690,8.0314438472,0.376004579216667,22.4765,6.84608,0.351245,20,6.345,5.96,2706.182,65654.92,73030.41,416101.4,73.76,1210.173,0,0,0,70.533,7.053,0,297.345,2489.17,1641.248
"182",4648498010690,0.0668904738444445,0.0018852388,0.359833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183",4650008010690,14.8641379541519,0.678017857255556,21.8838333333333,14.155,0.664586,20,6.185,5.53,5898.44,51600.21,250872.96,1104242,321.01,3750.256,26.738,0,0,44.256,21.494,0,1601.18,4606.6,3792.58
"184",4651084010690,1.43318269736906,0.160926193845672,20.0635,1.43003723756906,0.160878839779006,20,7.79,7.43,779.987182320442,76313.6860220994,234849.400552486,1753874.14364641,59.7339226519337,32.3477900552486,0,0,0,0,3.54486187845304,0,577.459723756906,1182.26447513812,436.096132596685
"185",4651129010690,2.9365276288,0.195353436533333,20.1693333333333,2.890882,0.194333,20,7.105,6.34,3380.576,75959.013,86612.25,405496.8,311.397,938.585,0,0,0,0,0,0,515.377,1860.082,687.1508
"186",4653117010690,5.00347280153704,0.316202292744444,20.1481666666667,4.96848,0.31548,20,6.12,5.735,4557.432,57447.28,291416.4,1217968.4,326.128,2876.676,23.936,59.796,0,0,2.156,0,527.824,1938.508,1203.84
"187",4653454010690,3.80834546110994,0.188830948403867,20.5715,3.44671160220994,0.182087845303867,20,7.75,7.255,0,23544.9640883978,50048.5751381215,686051.138121547,77.2732044198895,213.030994475138,0,0,0,0,22.971546961326,0,729.159171270718,1112.09447513812,237.809690607735
"188",4653893010690,1.24280468604444,0.132925603377778,20.254,1.220927,0.132495,20,8.135,7.44,1905.66,21384.872,10131.745,1036812.5,0,47.376,0,-2.978,0,0,-4.467,38.209,525.75,31.2543,403.4632
"189",4654954010690,8.41920458333333,0.298453033333333,29.906,6.01356,0.232358,20,5.37,4.61,0,51968.994,29613.08,351405.6,18809.882,5602.17,0,0,0,325.136,20.314,0,1138.34,3075.8,3493.336
