"","PLT_CN","PREVDIA.EM","DIA.EM","PREVDIA.AM","DIA.AM","PREVDIA.EITHER","DIA.EITHER","PREVDIA.OTHER","DIA.OTHER","PREVDIA.TOT","DIA.TOT","PREVSTEM.EM","STEM.EM","PREVSTEM.AM","STEM.AM","PREVSTEM.EITHER","STEM.EITHER","PREVSTEM.OTHER","STEM.OTHER","PREVSTEM.TOT","STEM.TOT","REMPER","prevTPA","TPA","latitude","longitude","elevation","X","C.storage","N.storage","depth","m.C.storage","m.N.storage","m.depth","pH_H2O","pH_CaCl2","m.Na.storage","m.K.storage","m.Mg.storage","m.Ca.storage","m.Al.storage","m.Mn.storage","m.Fe.storage","m.Ni.storage","m.Cu.storage","m.Zn.storage","m.Cd.storage","m.Pb.storage","m.S.storage","m.BrayP.storage","m.OlsenP.storage","map","mat"
"267","95834624010661",53.9,58.6,117.2,157.8,0,0,0,0,171.1,216.4,4,4,17,21,0,0,0,0,21,25,4.9,201.344248,156.469196,38.592887,-86.881555,583,3222,12.4481860111111,0.787820896296296,23.6406666666667,6.4119,0.4941,20,4.86,4.185,468,8895,7869,41862,42222,18268.8,118.2,145.2,0,302.7,12.3,226.5,654.6,608.7,NA,1196.81994628906,12.4899997711182
"268","95837362010661",185.2,199,52.4,61,0,0,0,0,237.6,260,13,14,6,7,0,0,0,0,19,21,4.9,108.324828,120.36092,39.3507,-86.733637,639,3223,10.5032541435556,0.339929021777778,22.4553333333333,4.6848,0.0948,20,5.17,4.685,552,6396,16764,158328,1956,13198.8,14.4,124.8,0,316.8,27.6,27.6,973.2,2805.6,NA,1172.68005371094,11.6899995803833
"269","95838179010661",42.9,47,160.9,199.6,0,0,0,0,203.8,246.6,5,5,20,23,0,0,0,0,25,28,4.9,144.433104,168.505288,38.031075,-86.660203,649,3224,12.121811933,0.68167673,23.6195,6.3281,0.464,20,5.485,4.98,148,10525,13777,185156,5221,13901.9,0,87.8,0,214.4,24.5,24.5,0,596.7,NA,1207.17004394531,12.960000038147
"270","95841384010661",142.6,158.9,23.6,31.1,0,0,0,0,166.2,190,11,13,3,4,0,0,0,0,14,17,4.9,84.252644,108.324828,38.672074,-85.881845,640,3225,10.4858694607608,0.590964521648455,23.7676666666667,3.42201104972376,0.324602209944751,20,4.9,4.12,4055,20619.7237569061,60749.4751381215,72891.6850828729,103205.856353591,15393.5994475138,59.1519337016575,256.549723756906,87.6574585635359,743.28453038674,0,1084.67679558011,2359.99171270718,179.933701657459,NA,1155.16003417969,12.4399995803833
"271","95848148010661",100.1,104.3,250.7,271.4,11.3,11.9,0,0,362.1,387.6,8,8,27,27,1,1,0,0,36,36,5,222.667702,204.613564,39.064552,-85.671238,693,3226,9.21091613866667,0.457233891333333,22.6881666666667,3.8394,0.1986,20,4.82,4.36,1024,11639,18294,118633,17594,10851.5,107.8,38.2,0,185.3,0,107.8,1621.3,605,NA,1146.94995117188,12
"272","95851022010661",0,0,308.2,332.5,0,0,0,0,308.2,332.5,0,0,32,32,0,0,0,0,32,32,4.9,192.577472,198.595518,39.433747,-87.017276,689,3227,12.61121172125,0.589781075916667,23.5348333333333,7.5276,0.3977,20,4.33,3.86,1703,12341,5574,48813,49664,51191.3,101.2,157.1,0,585,27.6,92.7,6141.1,564,NA,1132.0400390625,11.6499996185303
"273","95852334010661",160.9,164.7,63.5,73.7,0,0,0,0,224.4,238.4,12,12,7,8,0,0,0,0,19,20,4.9,114.342874,114.342874,38.746816,-87.067918,678,3228,15.7753997431852,0.814557214259259,25.8631666666667,4.2645,0.3391,20,5.035,4.515,1018,24081,22905,97788,43204,47051.6,0,91.7,0,175,10.1,124.5,1998.7,200.3,NA,1173.2099609375,12.5100002288818
"274","95858473010661",0,0,147.9,207.4,0,5.6,0,0,147.9,213,0,0,24,29,0,1,0,0,24,30,4.9,150.45115,180.54138,39.186956,-85.031685,972,3229,9.92516201757489,0.693425604018109,20.0635,9.17593922651934,0.672030386740332,20,6.71,6.32,9117.81767955801,14312.4309392265,56813.8121546961,462683.839779006,44898.8950276243,4308.25966850829,32.6933701657459,116.243093922652,43.5911602209945,294.240331491713,0,555.78729281768,1209.6546961326,NA,NA,1113.08996582031,11.8699998855591
"275","95858857010661",0,0,312.8,325.4,0,0,0,0,312.8,325.4,0,0,30,30,0,0,0,0,30,30,4.9,180.54138,174.523334,40.779389,-86.085059,656,3230,4.63040423944444,0.657896301222222,20.127,3.2802,0.6105,20,7.15,6.875,621,35989,100210,905988,0,1332.8,0,70.3,0,0,41.4,0,0,NA,NA,1020.27001953125,10.3100004196167
"276","95864681010661",35.9,36.2,6.4,8.1,5.1,5.3,0,0,47.4,49.6,2,2,1,1,1,1,0,0,4,4,5,24.072184,24.072184,42.070316,-92.410365,800,3231,12.9047270591667,0.771344056222222,23.1115,8.1484,0.5603,20,6.07,5.575,2483,35412,84968,578513,0,6350.5,0,40.3,0,28.6,26,0,1766.7,NA,NA,903.849975585938,8.84000015258789
